"","lnd","row","col","ent","joinent","condent","mutinf"
"1","map10",30,29,1.66660765696843,3.14992351255445,1.48331585558602,0.183291801382405
"2","map11",30,29,1.67091207857235,3.14369274304426,1.47278066447191,0.198131414100441
"3","map2",30,29,1.68820461512574,3.18276903062467,1.49456441549894,0.193640199626801
"4","map3",30,29,1.71051470872126,3.21977483987472,1.50926013115346,0.201254577567796
"5","map4",30,29,1.68163394627228,3.14918441932254,1.46755047305026,0.214083473222017
"6","map5",30,29,1.66143381545024,3.1519927127666,1.49055889731636,0.170874918133887
"7","map6",30,29,1.68251209890926,3.17059458385689,1.48808248494762,0.194429613961636
"8","map7",30,29,1.70216968150356,3.21911528482707,1.51694560332351,0.185224078180056
"9","map8",30,29,1.68668599269737,3.18340228622995,1.49671629353257,0.189969699164796
"10","map9",30,29,1.67794741770702,3.18473190061302,1.50678448290601,0.171162934801009
